User,Location,Date Created,Number of Likes,Source of Tweet,Tweet
Taiwo💎💎💎💎,"Lagos, Nigeria",2022-12-07 20:48:11+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Anne Celeste 💙,,2022-12-07 20:43:21+00:00,0,Twitter Web App,"RT @fifaworldcup_es: ¡Grande, Moriyasu! 👏

El técnico de #JPN consoló a sus pupilos tras caer ante #HRV."
S.Josie💙❤️💘MESSI😘🐐⚽️🙏🏼🥰,,2022-12-07 20:36:34+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Sebastian Linares Llerena,,2022-12-07 20:36:20+00:00,0,Twitter for iPhone,"#CopaMundialFIFA #Qatar2022                   
OCTAVOS DE FINAL (FT)
#JPN 1(1)v(3)1 #HRV 
🇯🇵Maeda⚽️ 
🇭🇷Perisic⚽️
*Croacia🇭🇷 gana 3-1 en los penales"
Enoch Appiah,,2022-12-07 20:28:47+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Sang💃🏻🥰MessiFCB⚽️💙❤️,,2022-12-07 20:26:48+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
ᶜʳᶠ,4.4389° N 75.2322° O,2022-12-07 20:25:25+00:00,0,Twitter Web App,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Osvaldo Fabián Ortiz,,2022-12-07 20:24:35+00:00,0,Twitter for Android,"RT @PabloOrtizOK: #Qatar2022 | #Japón🇯🇵 vs. #Croacia🇭🇷
Relatos: @Jfurlanich #TeLoRelataFurla
Comentarios: @milenagimon
TV 📺: @DSports SD 61…"
LeeyCamarguinho♨️,República de Moçambique,2022-12-07 20:18:07+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Nueve 🇵🇸,,2022-12-07 20:08:44+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Sabrina Ghio,,2022-12-07 19:59:20+00:00,0,Twitter for Android,"RT @lnstantFoot: 🔴 ON CONNAIT TOUS LES QUARTS DE FINALE DE LA #FIFAWorldCup, ET ON AURA DU SPECTACLE ! 😍

#NED 🆚 #ARG
#ENG 🆚 #FRA
#HRV 🆚 #J…"
VIC,,2022-12-07 19:54:57+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Lucas Felipe ⚫️⚪️,Neo Química Arena,2022-12-07 19:51:17+00:00,0,Twitter for iPhone,"RT @lucasfelipe_73: #FIFAWorldCup - 8as de Final

#NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1 (1)-(3) 1 #HRV
#BRA 4-1 #K…"
Madxe Mue,Jamaica,2022-12-07 19:23:24+00:00,0,Twitter Web App,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Abel,Península Ibérica,2022-12-07 19:22:12+00:00,1,Twitter for Android,"GOLES #FIFAWORLDCUP

#ENG ⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽
#POR ⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽
#FRA ⚽⚽⚽⚽⚽⚽⚽⚽⚽
#ESP ⚽⚽⚽⚽⚽⚽⚽⚽⚽
#NED ⚽⚽⚽⚽⚽⚽⚽⚽
#BRA ⚽⚽⚽⚽⚽⚽⚽
#ARG ⚽⚽⚽⚽⚽⚽⚽
#GER ⚽⚽⚽⚽⚽⚽
#JPN ⚽⚽⚽⚽⚽
#HRV ⚽⚽⚽⚽⚽
#KOR ⚽⚽⚽⚽⚽
#SEN ⚽⚽⚽⚽⚽"
Manager at Auntie Bnasty's pretzels,Wano,2022-12-07 19:16:39+00:00,0,Twitter for Android,"RT @TelemundoSports: 🇯🇵 ¡¡GOOOOOOOOOOOOL DE JAPÓN!! 

⚽️ ¡Llegó el primero del partido! Daizen Maeda aprovecha un rebote y la manda a guard…"
Mr. Tailor🪡,DWNS Taylor Rain / Parody,2022-12-07 18:51:08+00:00,0,Twitter for Android,"RT @spacebearwizzer: @spacebearrocker ЛУДИЛОООООО Ох3&gt;
ОПШТЕ ЛУДИЛО (((:3&gt;
Ено је и КРКа га кркнула
Швабама! Сад само мора
да буде 1: #ESP…"
BETTING HUB,,2022-12-07 18:37:17+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Ale, Asturies,2022-12-07 18:31:19+00:00,0,Twitter for Android,"RT @2010MisterChip: #JPN 1-1 #HRV (70')
#JPNHRV #FIFAWorldCup #Qatar2022 

Entra Budimir y por PRIMERA VEZ @Osasuna tiene 2 jugadores con m…"
Ale, Asturies,2022-12-07 18:30:58+00:00,0,Twitter for Android,"RT @2010MisterChip: #JPN 1-1 #HRV (55')
#JPNHRV #FIFAWorldCup #Qatar2022 

Perisic (jugador extraordinario e infravalorado) es el TERCER ju…"
Ale, Asturies,2022-12-07 18:30:53+00:00,0,Twitter for Android,"RT @2010MisterChip: #JPN 1-0 #HRV (Maeda 43')
#JPNHRV #FIFAWorldCup #Qatar2022 

Asia se merece POR FIN otra selección que llegue a cuartos…"
یک خری که ده تا اکانت پرونده,,2022-12-07 18:25:21+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
★📽️bli§ dolly zøom⭐,,2022-12-07 18:05:29+00:00,0,Twitter Web App,"RT @FIFAWorldCup: #NED #USA
#ARG #AUS
#ENG #SEN
#FRA #POL
#JPN #HRV
#BRA #KOR
#MAR #ESP
#POR #SUI"
Express Futbol,"UEFA, CONMEBOL, CONCACAF, FIFA",2022-12-07 17:54:43+00:00,0,Twitter for Android,"RT @ExpressFutbolCL: FORMACIONES CONFIRMADAS. Vía @365ScoresApp:

#JPN: Tomiyasu y Ritsu Doan son las principales novedades de Moriyasu. Lo…"
Waleed,In your Heart,2022-12-07 17:52:57+00:00,0,Twitter Web App,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Marquard E. Fredericks,Stellenbosch,2022-12-07 17:52:17+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Express Futbol,"UEFA, CONMEBOL, CONCACAF, FIFA",2022-12-07 17:51:22+00:00,0,Twitter for Android,"RT @ExpressFutbolCL: Los OCTAVOS de Final de #Qatar2022 

#NED #USA
#ARG #AUS 

#JPN #HRV 
#BRA #KOR 

#ENG #SEN
#FRA #POL

#MAR #ESP
#POR…"
zhekaf._.ahmad_,,2022-12-07 17:49:22+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
ISHOLA ✨,Unknow,2022-12-07 17:27:29+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
yosinotosihiro,関東のよいところ,2022-12-07 17:18:58+00:00,0,Twitter for Android,"RT @J_League: 昨夜の激闘をPlayBack📸

43分に #前田大然  のゴールで先制し、1-0で折り返すも、55分に一瞬の隙を突かれ失点。

PK戦の末にクロアチアに敗れ、悲願のベスト8には届かず。

#JPN  1-1 (PK 1-3) #HRV  
43'…"
M.A.D,Rabat,2022-12-07 17:11:59+00:00,0,Twitter for Android,"RT @marca: 🔮 Hoy clavamos el #PronósticoMARCA del #JPN vs #HRV y esperamos repetir con el del #MAR vs #ESP 

Aunque bueno, lo importante es…"
🫶🇨🇲,South Africa,2022-12-07 17:04:32+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
ᶜʳᶠ,4.4389° N 75.2322° O,2022-12-07 17:04:28+00:00,0,Twitter Web App,"RT @fpvywgins39548: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on…"
Nii Sackey,Accra Ghana ,2022-12-07 16:57:03+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Pritam Biswas 🇮🇳♑,"Barrackpore,West Bengal,India",2022-12-07 16:53:10+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
RMK 2023🛑🛑🛑,Nigeria,2022-12-07 16:52:18+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Alejandra Vallejos,"Corrientes, Argentina",2022-12-07 16:45:37+00:00,0,Twitter Web App,RT @mxalvarezv: Adiós Japón. Extrañaremos a tu hinchada cantando canciones de La 12 y tus victorias contra España y Alemania. #JPN #HRV #Qa…
Alexander,,2022-12-07 16:42:56+00:00,0,Twitter for iPhone,"RT @TelemundoSports: 🇯🇵 ¡¡GOOOOOOOOOOOOL DE JAPÓN!! 

⚽️ ¡Llegó el primero del partido! Daizen Maeda aprovecha un rebote y la manda a guard…"
AM,,2022-12-07 16:35:15+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Acheampong Agyei Benjamin,,2022-12-07 16:26:25+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
🅰🅻🅴🆇🅸🆂 🅼🅰🆄🆃🅾🅽🅴,"Rosario, Argentina ",2022-12-07 16:25:38+00:00,0,Twitter Web App,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
∃M,,2022-12-07 16:14:27+00:00,0,Twitter for Android,"RT @Football__Tweet: Daizen Maeda has deserved that World Cup goal. He's been an absolute beast for Japan this tournament. 

#JPN | #HRV |…"
fpvywgins39548,,2022-12-07 16:14:18+00:00,0,Twitter Web App,"#NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pens)
#POR 6-1 #SUI

The round of 16 is in the books https://t.co/HKzWlHGfB1"
René Carrillo (🇲🇽),México D.F.,2022-12-07 16:13:10+00:00,0,Twitter Web App,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Tona,"Nairobi, Kenya",2022-12-07 16:11:45+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
budxhnloa36064,,2022-12-07 16:09:36+00:00,0,Twitter Web App,"#NED #USA
#ARG #AUS
#ENG #SEN
#FRA #POL
#JPN #HRV
#BRA #KOR
#MAR #ESP
#POR #SUI https://t.co/StqFwg5ikV"
wkogslxxb57166,,2022-12-07 16:08:29+00:00,0,Twitter Web App,"#WAL 0-2 #IRN
#QAT 1-3 #SEN
#NED 1-1 #ECU
#ENG 0-0 #USA
#TUN 0-1 #AUS
#POL 2-0 #KSA
#FRA 2-1 #DEN
#ARG 2-0 #MEX
#JPN 0-1 #CRC
#BEL 0-2 #MAR
#HRV 4-1 #CAN
#ESP 1-1 #GER
#CMR 3-3 #SRB
#KOR 2-3 #GHA
#BRA 1-0 #SUI
#POR 2-0 #URU 

That was round 2 https://t.co/sWAQ59gMgk"
Collins Atta Poku’s son,"Tarkwa, Ghana",2022-12-07 16:00:55+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Kibalachi Sammy,,2022-12-07 15:59:06+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
-_-+,"Dhaka, Bangladesh",2022-12-07 15:58:53+00:00,0,Twitter for Android,"RT @Football__Tweet: That winning moment. 

#JPN | #HRV | #FIFAWorldCup https://t.co/bSqej1rj6C"
一虎🇵🇹,,2022-12-07 15:58:17+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
zaadulmacaad,,2022-12-07 15:44:39+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Kelvin Celis,"Reno, NV",2022-12-07 15:41:46+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
e.o,,2022-12-07 15:32:53+00:00,0,Twitter for Android,"RT @ESPNStatsInfo: Japan and Croatia head to a penalty shootout in their Round of 16 match.

#HRV: advanced in both of its previous shootou…"
🇲🇦 🫡,Happy meal,2022-12-07 15:31:57+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
so cute,FAV7,2022-12-07 15:28:52+00:00,0,Twitter for iPad,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Leader of Lunacy,Arsenal Football Club ,2022-12-07 15:12:05+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Stanisław Michalski,"Warszawa, Polska",2022-12-07 14:44:53+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Myaa,☺︎🇯🇵,2022-12-07 14:38:07+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Hussaini abdullahi,"Kaduna, Nigeria",2022-12-07 14:27:17+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Stephen.,Inside life. ,2022-12-07 14:26:24+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
サッカーボリスタ,,2022-12-07 14:25:15+00:00,0,Twitter for iPad,"RT @yutaka_katoh: 【#JPN vs #HRV 移動データ】
◆総走行距離(平均)
　🇯🇵              🇭🇷
13768m      14154m

◆時速20km以上総距離(平均)
　🇯🇵              🇭🇷
 1025m…"
Agusmarch Fimeba,,2022-12-07 14:22:43+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
$u$ie,"Chicago, IL",2022-12-07 14:06:50+00:00,0,Twitter for iPhone,"RT @TelemundoSports: 🇭🇷 ¡CROACIA AVANZA A LOS CUARTOS DE FINAAAAAL! 🇭🇷

⚽️ Así marcó Pasalic el gol definitivo para acceder a la siguiente…"
Luis,,2022-12-07 14:00:24+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
TRUSTED ACCURATE GUARANTEED BET ODDS 09042294269,"Lekki, Nigeria",2022-12-07 13:57:44+00:00,0,Twitter for Android,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
ニャズ,18 ↑ PL/ENG they/them,2022-12-07 13:53:38+00:00,0,TweetDeck,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
Sporting Life Football & Infogol,,2022-12-07 13:53:23+00:00,0,Twitter for iPhone,"RT @InfogolApp: 📊 Most expected goals (xG) created in the #FIFAWorldCup round of 16:

1️⃣ #BRA - 4.29
2️⃣ #POR - 2.86
3️⃣ #ARG - 2.14
4️⃣ #…"
lily,they/any pronouns,2022-12-07 13:52:17+00:00,0,Twitter for iPad,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
あおい✌🏻☆彡.。,,2022-12-07 13:46:27+00:00,0,Twitter for iPhone,"RT @fifaworldcup_es: ¡#JPN se va arriba al descanso ante #HRV tras el gol de Maeda! 

#CopaMundialFIFA"
OB DEPORTES 🌏🇨🇴🇪🇸⚽️,"Barranquilla, Colombia",2022-12-07 13:41:05+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
橋本佳宏/コンディショニングサポート/理学療法士,千葉 千葉市 ,2022-12-07 13:39:55+00:00,0,Twitter for iPhone,"RT @yutaka_katoh: 【#JPN vs #HRV 移動データ】
◆総走行距離(平均)
　🇯🇵              🇭🇷
13768m      14154m

◆時速20km以上総距離(平均)
　🇯🇵              🇭🇷
 1025m…"
Mark Armstrong,Ireland,2022-12-07 13:33:02+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
𝒮𝒶𝒾𝒻 𝒜𝓁𝒬𝓊𝒷𝒶𝒾𝓈𝒾,Abu Dhabi,2022-12-07 13:32:32+00:00,0,Twitter for iPhone,"RT @brfootball: #NED 3-1 #USA
#ARG 2-1 #AUS
#FRA 3-1 #POL
#ENG 3-0 #SEN
#JPN 1-1 #HRV (1-3 on pens)
#BRA 4-1 #KOR
#MAR 0-0 #ESP (3-0 on pen…"
